pwm_us,rpm,current_A,voltage_V,power_W,force_kgf,force_N
1100,3464.7133333333336,24.298333333333332,16,388.7733333333333,-4.069476,-39.907929
1104,3468.01,24.3,16,388.8,-4.050577,-39.722587
1108,3449.07,23.78,16,380.48,-4.023361,-39.455694
1112,3421.12,23.25,16,372,-3.964394,-38.877425
1116,3409.95,22.64,16,362.24,-3.900891,-38.254675
1120,3394.78,22.07,16,353.12,-3.86914,-37.943299
1124,3373.93,21.46,16,343.36,-3.823781,-37.498478
1128,3356.28,20.98,16,335.68,-3.801101,-37.276067
1132,3323.16,20.44,16,327.04,-3.751206,-36.786763
1136,3306.57,19.9,16,318.4,-3.714918,-36.430905
1140,3282.25,19.32,16,309.12,-3.655952,-35.852637
1144,3247.62,18.74,16,299.84,-3.587913,-35.185404
1148,3223.24,18.11,16,289.76,-3.519874,-34.518172
1152,3207.09,17.53,16,280.48,-3.451835,-33.850939
1156,3176.96,17,16,272,-3.397404,-33.317153
1160,3152.96,16.45,16,263.2,-3.311222,-32.471991
1164,3111.45,15.96,16,255.36,-3.252255,-31.893723
1168,3086.3,15.48,16,247.68,-3.20236,-31.404419
1172,3061.4,14.98,16,239.68,-3.107105,-30.470293
1176,3049.78,14.43,16,230.88,-3.039066,-29.803061
1180,3003.32,14.04,16,224.64,-2.993707,-29.358239
1184,2987.73,13.55,16,216.8,-2.939276,-28.824453
1188,2952.33,13.1,16,209.6,-2.862166,-28.068255
1192,2918.2,12.74,16,203.84,-2.821342,-27.667916
1196,2895.86,12.3,16,196.8,-2.771447,-27.178612
1200,2864.72,11.93,16,190.88,-2.707944,-26.555861
1204,2845.12,11.59,16,185.44,-2.658049,-26.066557
1208,2821.23,11.2,16,179.2,-2.580938,-25.31036
1212,2792.39,10.8,16,172.8,-2.549187,-24.998985
1216,2758.52,10.5,16,168,-2.508364,-24.598645
1220,2736.37,10.27,16,164.32,-2.453933,-24.064859
1224,2712.08,9.9,16,158.4,-2.381358,-23.353144
1228,2681.26,9.5,16,152,-2.354142,-23.086251
1232,2660.64,9.2,16,147.2,-2.277032,-22.330054
1236,2629,8.9,16,142.4,-2.236209,-21.929715
1240,2598.64,8.6,16,137.6,-2.195385,-21.529375
1244,2575.93,8.2,16,131.2,-2.118275,-20.773178
1248,2547.87,7.9,16,126.4,-2.081987,-20.417321
1252,2517.32,7.57,16,121.12,-2.02302,-19.839052
1256,2482.17,7.19,16,115.04,-1.977661,-19.39423
1260,2440.17,6.89,16,110.24,-1.941374,-19.038373
1264,2418.69,6.53,16,104.48,-1.859727,-18.237694
1268,2369.48,6.29,16,100.64,-1.814368,-17.792872
1272,2345.45,6,16,96,-1.764473,-17.303568
1276,2306.38,5.75,16,92,-1.70097,-16.680817
1280,2277.85,5.5,16,88,-1.669219,-16.369442
1284,2248.15,5.3,16,84.8,-1.610252,-15.791174
1288,2222.36,5,16,80,-1.555821,-15.257388
1292,2198.72,4.8,16,76.8,-1.514997,-14.857048
1296,2156.96,4.6,16,73.6,-1.487782,-14.590155
1300,2140.15,4.4,16,70.4,-1.437887,-14.100851
1304,2105.77,4.2,16,67.2,-1.397063,-13.700511
1308,2081.37,3.98,16,63.68,-1.347168,-13.211207
1312,2039.83,3.7,16,59.2,-1.301809,-12.766386
1316,2001.27,3.58,16,57.28,-1.25645,-12.321564
1320,1968.2,3.39,16,54.24,-1.202019,-11.787778
1324,1935.5,3.2,16,51.2,-1.161196,-11.387438
1328,1902.76,3,16,48,-1.120372,-10.987098
1332,1869.56,2.84,16,45.44,-1.102229,-10.80917
1336,1839.98,2.7,16,43.2,-1.052333,-10.319866
1340,1807.39,2.4,16,38.4,-1.020582,-10.00849
1344,1773.08,2.3,16,36.8,-0.979759,-9.608151
1348,1737.6,2.1,16,33.6,-0.943471,-9.252293
1352,1704.96,2,16,32,-0.902648,-8.851954
1356,1667.06,1.9,16,30.4,-0.870897,-8.540579
1360,1630.35,1.7,16,27.2,-0.821002,-8.051275
1364,1589.17,1.6,16,25.6,-0.784714,-7.695417
1368,1553.88,1.5,16,24,-0.743891,-7.295077
1372,1518.54,1.4,16,22.4,-0.716675,-7.028184
1376,1481.78,1.3,16,20.8,-0.680388,-6.672327
1380,1448.45,1.2,16,19.2,-0.648637,-6.360952
1384,1409.65,1.1,16,17.6,-0.616885,-6.049576
1388,1362.08,1,16,16,-0.580598,-5.693719
1392,1324.67,0.9,16,14.4,-0.539774,-5.293379
1396,1284.84,0.8,16,12.8,-0.512559,-5.026486
1400,1246.14,0.7,16,11.2,-0.480808,-4.715111
1404,1199.38,0.66,16,10.56,-0.44452,-4.359254
1408,1152.94,0.56,16,8.96,-0.417305,-4.092361
1412,1112.71,0.5,16,8,-0.385553,-3.780985
1416,1064.11,0.4,16,6.4,-0.353802,-3.46961
1420,1016.48,0.4,16,6.4,-0.32205,-3.158235
1424,969.68,0.37,16,5.92,-0.294835,-2.891342
1428,916.03,0.3,16,4.8,-0.258547,-2.535484
1432,868.6,0.2,16,3.2,-0.235868,-2.313073
1436,809.94,0.2,16,3.2,-0.208652,-2.04618
1440,758.15,0.2,16,3.2,-0.181437,-1.779287
1444,697.28,0.1,16,1.6,-0.149685,-1.467912
1448,641.26,0.1,16,1.6,-0.127006,-1.245501
1452,577.81,0.1,16,1.6,-0.104326,-1.02309
1456,513.25,0.05,16,0.8,-0.086182,-0.845161
1460,449.5,0.05,16,0.8,-0.068039,-0.667233
1464,388.48,0.05,16,0.8,-0.049895,-0.489304
1468,317.17,0.05,16,0.8,-0.036287,-0.355857
1472,0,0,16,0,0,0.0
1476,0,0,16,0,0,0.0
1480,0,0,16,0,0,0.0
1484,0,0,16,0,0,0.0
1488,0,0,16,0,0,0.0
1492,0,0,16,0,0,0.0
1496,0,0,16,0,0,0.0
1500,0,0,16,0,0,0.0
1504,0,0,16,0,0,0.0
1508,0,0,16,0,0,0.0
1512,0,0,16,0,0,0.0
1516,0,0,16,0,0,0.0
1520,0,0,16,0,0,0.0
1524,0,0,16,0,0,0.0
1528,0,0,16,0,0,0.0
1532,308.25,0.05,16,0.8,0.040823,0.40034
