t,x,y,psi,u,v,r,tau_u_N,tau_r_Nm,F_port_kgf,F_stbd_kgf
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
2.000000000000000042e-02,3.537098350461782663e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.521534731672588958e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
4.000000000000000083e-02,1.402919614503492013e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.957544635070499195e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
5.999999999999999778e-02,3.131963978120399540e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.032200658943769611e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
8.000000000000000167e-02,5.527735766874174173e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.362659272136043376e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.000000000000000056e-01,8.579261715984502074e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.688102030824664146e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.199999999999999956e-01,1.227733911463982190e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.009331571713854347e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.400000000000000133e-01,1.661421849832030173e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.327001385082035634e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.600000000000000033e-01,2.158332114361447007e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.641630902695666916e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.799999999999999933e-01,2.717898291830230656e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.953616943272303619e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
2.000000000000000111e-01,3.339621819216906373e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.263242470139461338e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
