t,x,y,psi,u,v,r,u_d,psi_deg,psi_d_deg,xte_m,F_port_kgf,F_stbd_kgf,tau_u_N,tau_r_Nm,tau_u_cmd_N,tau_r_cmd_Nm,wp_idx
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.819999999999999840e+00,1.819999999999999840e+00,3.569620599999999655e+01,0.000000000000000000e+00,3.609599999999999653e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,3.537098350461782663e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.521534731672588958e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.764266264681075169e+00,1.764266264681075169e+00,3.460308352906933038e+01,0.000000000000000000e+00,3.460308352906933038e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,1.392070764702773786e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.849435364704092866e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.692387763495562414e+00,1.692387763495562414e+00,3.319330892176751036e+01,0.000000000000000000e+00,3.319330892176751036e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,3.074841334231608134e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.968064429021455952e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.625119901572396053e+00,1.625119901572396053e+00,3.187396416550987510e+01,0.000000000000000000e+00,3.187396416550987510e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,5.362420007874792519e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.289942027097073229e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.561969415259417460e+00,1.561969415259417460e+00,3.063537473230753250e+01,0.000000000000000000e+00,3.063537473230753250e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.219216108349346531e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.566173371458321195e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.502528366069168175e+00,1.502528366069168175e+00,2.946953960222441538e+01,0.000000000000000000e+00,2.946953960222441538e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000094e-01,1.161297886162870191e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.827026307403527561e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.446456082086244876e+00,1.446456082086244876e+00,2.836977707478214583e+01,0.000000000000000000e+00,2.836977707478214583e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,1.551426550041499174e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.073789843182827497e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.393465438536967360e+00,1.393465438536967360e+00,2.733045568565709971e+01,0.000000000000000000e+00,2.733045568565709971e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,1.989601575098358735e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.307562714779209656e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.343312293744348462e+00,1.343312293744348462e+00,2.634678701089602626e+01,0.000000000000000000e+00,2.634678701089602626e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,2.473320874667146382e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.529289676101469375e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.295787257056826070e+00,1.295787257056826070e+00,2.541466420883264377e+01,0.000000000000000000e+00,2.541466420883264377e+01,0.000000000000000000e+00,0.000000000000000000e+00
